"","region","latitude","longitude","exposure","date","time","temperature","phosphate","nitrate","silicate","toxicity","HAB","genus","species","spec_biomass"
"16","Elbe Estuary",53.90433,8.78906,"low","21.03.18",12:00:00,6.9998,0.934611,20.20872,7.086619,"high",1,"other","Lingulodinium polyedrum",1.585878817
"17","Elbe Estuary",53.90433,8.78906,"low","21.03.18",12:00:00,6.9998,0.934611,20.20872,7.086619,"low",1,"diatom","Cylindrotheca closterium",9.186240789
"18","Elbe Estuary",53.90433,8.78906,"low","21.03.18",12:00:00,6.9998,0.934611,20.20872,7.086619,"non",0,"diatom","Actinocyclus normanii",1.852169346
"19","Elbe Estuary",53.90433,8.78906,"low","21.03.18",12:00:00,6.9998,0.934611,20.20872,7.086619,"non",0,"diatom","Cyclotella radiosa",0.791474523
"20","Elbe Estuary",53.90433,8.78906,"low","21.03.18",12:00:00,6.9998,0.934611,20.20872,7.086619,"non",0,"diatom","Leptocylindrus danicus",1.869390048
"21","Elbe Estuary",53.90433,8.78906,"low","21.03.18",12:00:00,6.9998,0.934611,20.20872,7.086619,"non",0,"diatom","Proboscia alata",0.657140388
"22","Elbe Estuary",53.90433,8.78906,"low","21.03.18",12:00:00,6.9998,0.934611,20.20872,7.086619,"non",0,"diatom","Rhizosolenia setigera",0.550369872
"23","Elbe Estuary",53.90433,8.78906,"low","21.03.18",12:00:00,6.9998,0.934611,20.20872,7.086619,"non",0,"diatom","Skeletonema subsalsum",1.211497001
"24","Elbe Estuary",53.90433,8.78906,"low","21.03.18",12:00:00,6.9998,0.934611,20.20872,7.086619,"non",0,"other","Aphanizomenon gracile",0.690136548
"25","Elbe Estuary",53.90433,8.78906,"low","21.03.18",12:00:00,6.9998,0.934611,20.20872,7.086619,"non",0,"other","Coelosphaerium dubium",0.615210309
"26","Elbe Estuary",53.90433,8.78906,"low","21.03.18",12:00:00,6.9998,0.934611,20.20872,7.086619,"non",0,"other","Cryptomonas platyuris",0.148557503
"27","Elbe Estuary",53.90433,8.78906,"low","21.03.18",12:00:00,6.9998,0.934611,20.20872,7.086619,"non",0,"other","Cyanodictyon planctonicum",0.456416476
"28","Elbe Estuary",53.90433,8.78906,"low","21.03.18",12:00:00,6.9998,0.934611,20.20872,7.086619,"non",0,"other","Planctonema lauterbornii",1.257635616
"29","Elbe Estuary",53.90433,8.78906,"low","21.03.18",12:00:00,6.9998,0.934611,20.20872,7.086619,"non",0,"other","Snowella fennica",1.011591929
"30","Elbe Estuary",53.90433,8.78906,"low","21.03.18",12:00:00,6.9998,0.934611,20.20872,7.086619,"non",0,"other","Woronichinia compacta",1.245766545
"31","Elbe Estuary",53.90433,8.78906,"low","22.03.18",12:00:00,7.5616,1.016613,21.23216,5.9950528,"high",1,"other","Lingulodinium polyedrum",4.993911532
"32","Elbe Estuary",53.90433,8.78906,"low","22.03.18",12:00:00,7.5616,1.016613,21.23216,5.9950528,"low",1,"diatom","Cylindrotheca closterium",6.921422652
"33","Elbe Estuary",53.90433,8.78906,"low","22.03.18",12:00:00,7.5616,1.016613,21.23216,5.9950528,"non",0,"diatom","Actinocyclus normanii",2.096111763
"34","Elbe Estuary",53.90433,8.78906,"low","22.03.18",12:00:00,7.5616,1.016613,21.23216,5.9950528,"non",0,"diatom","Cyclotella radiosa",0.659226226
"35","Elbe Estuary",53.90433,8.78906,"low","22.03.18",12:00:00,7.5616,1.016613,21.23216,5.9950528,"non",0,"diatom","Leptocylindrus danicus",2.183360498
"36","Elbe Estuary",53.90433,8.78906,"low","22.03.18",12:00:00,7.5616,1.016613,21.23216,5.9950528,"non",0,"diatom","Proboscia alata",0.815738803
"37","Elbe Estuary",53.90433,8.78906,"low","22.03.18",12:00:00,7.5616,1.016613,21.23216,5.9950528,"non",0,"diatom","Rhizosolenia setigera",0.353391416
"38","Elbe Estuary",53.90433,8.78906,"low","22.03.18",12:00:00,7.5616,1.016613,21.23216,5.9950528,"non",0,"diatom","Skeletonema subsalsum",1.326382259
"39","Elbe Estuary",53.90433,8.78906,"low","22.03.18",12:00:00,7.5616,1.016613,21.23216,5.9950528,"non",0,"other","Aphanizomenon gracile",0.5623406
"40","Elbe Estuary",53.90433,8.78906,"low","22.03.18",12:00:00,7.5616,1.016613,21.23216,5.9950528,"non",0,"other","Coelosphaerium dubium",0.568590708
"41","Elbe Estuary",53.90433,8.78906,"low","22.03.18",12:00:00,7.5616,1.016613,21.23216,5.9950528,"non",0,"other","Cryptomonas platyuris",0.180291008
"42","Elbe Estuary",53.90433,8.78906,"low","22.03.18",12:00:00,7.5616,1.016613,21.23216,5.9950528,"non",0,"other","Cyanodictyon planctonicum",0.425971607
"43","Elbe Estuary",53.90433,8.78906,"low","22.03.18",12:00:00,7.5616,1.016613,21.23216,5.9950528,"non",0,"other","Planctonema lauterbornii",1.111154275
"44","Elbe Estuary",53.90433,8.78906,"low","22.03.18",12:00:00,7.5616,1.016613,21.23216,5.9950528,"non",0,"other","Snowella fennica",1.017206899
"45","Elbe Estuary",53.90433,8.78906,"low","22.03.18",12:00:00,7.5616,1.016613,21.23216,5.9950528,"non",0,"other","Woronichinia compacta",1.135825549
"46","Elbe Estuary",53.90433,8.78906,"low","23.03.18",12:00:00,7.3993,0.910119,22.68255,6.618672,"high",1,"other","Lingulodinium polyedrum",3.598456146
"47","Elbe Estuary",53.90433,8.78906,"low","23.03.18",12:00:00,7.3993,0.910119,22.68255,6.618672,"low",1,"diatom","Cylindrotheca closterium",8.503345501
"48","Elbe Estuary",53.90433,8.78906,"low","23.03.18",12:00:00,7.3993,0.910119,22.68255,6.618672,"non",0,"diatom","Actinocyclus normanii",2.128062332
"49","Elbe Estuary",53.90433,8.78906,"low","23.03.18",12:00:00,7.3993,0.910119,22.68255,6.618672,"non",0,"diatom","Cyclotella radiosa",0.572448082
"50","Elbe Estuary",53.90433,8.78906,"low","23.03.18",12:00:00,7.3993,0.910119,22.68255,6.618672,"non",0,"diatom","Leptocylindrus danicus",2.032037154
"51","Elbe Estuary",53.90433,8.78906,"low","23.03.18",12:00:00,7.3993,0.910119,22.68255,6.618672,"non",0,"diatom","Proboscia alata",0.783963564
"52","Elbe Estuary",53.90433,8.78906,"low","23.03.18",12:00:00,7.3993,0.910119,22.68255,6.618672,"non",0,"diatom","Rhizosolenia setigera",0.626281101
"53","Elbe Estuary",53.90433,8.78906,"low","23.03.18",12:00:00,7.3993,0.910119,22.68255,6.618672,"non",0,"diatom","Skeletonema subsalsum",1.328792648
"54","Elbe Estuary",53.90433,8.78906,"low","23.03.18",12:00:00,7.3993,0.910119,22.68255,6.618672,"non",0,"other","Aphanizomenon gracile",0.567041203
"55","Elbe Estuary",53.90433,8.78906,"low","23.03.18",12:00:00,7.3993,0.910119,22.68255,6.618672,"non",0,"other","Coelosphaerium dubium",0.571789218
"56","Elbe Estuary",53.90433,8.78906,"low","23.03.18",12:00:00,7.3993,0.910119,22.68255,6.618672,"non",0,"other","Cryptomonas platyuris",0.113826609
"57","Elbe Estuary",53.90433,8.78906,"low","23.03.18",12:00:00,7.3993,0.910119,22.68255,6.618672,"non",0,"other","Cyanodictyon planctonicum",0.46154212
"58","Elbe Estuary",53.90433,8.78906,"low","23.03.18",12:00:00,7.3993,0.910119,22.68255,6.618672,"non",0,"other","Planctonema lauterbornii",1.122839948
"59","Elbe Estuary",53.90433,8.78906,"low","23.03.18",12:00:00,7.3993,0.910119,22.68255,6.618672,"non",0,"other","Snowella fennica",0.977240036
"60","Elbe Estuary",53.90433,8.78906,"low","23.03.18",12:00:00,7.3993,0.910119,22.68255,6.618672,"non",0,"other","Woronichinia compacta",1.156837119
"61","Elbe Estuary",53.90433,8.78906,"low","24.03.18",12:00:00,7.7138,1.028485,20.64946,3.7942429,"high",1,"other","Lingulodinium polyedrum",8.564130136
"62","Elbe Estuary",53.90433,8.78906,"low","24.03.18",12:00:00,7.7138,1.028485,20.64946,3.7942429,"low",1,"diatom","Cylindrotheca closterium",2.69324609
"63","Elbe Estuary",53.90433,8.78906,"low","24.03.18",12:00:00,7.7138,1.028485,20.64946,3.7942429,"non",0,"diatom","Actinocyclus normanii",1.716631328
"64","Elbe Estuary",53.90433,8.78906,"low","24.03.18",12:00:00,7.7138,1.028485,20.64946,3.7942429,"non",0,"diatom","Cyclotella radiosa",0.726264627
"65","Elbe Estuary",53.90433,8.78906,"low","24.03.18",12:00:00,7.7138,1.028485,20.64946,3.7942429,"non",0,"diatom","Leptocylindrus danicus",1.61880587
"66","Elbe Estuary",53.90433,8.78906,"low","24.03.18",12:00:00,7.7138,1.028485,20.64946,3.7942429,"non",0,"diatom","Proboscia alata",0.790073899
"67","Elbe Estuary",53.90433,8.78906,"low","24.03.18",12:00:00,7.7138,1.028485,20.64946,3.7942429,"non",0,"diatom","Rhizosolenia setigera",0.229053881
"68","Elbe Estuary",53.90433,8.78906,"low","24.03.18",12:00:00,7.7138,1.028485,20.64946,3.7942429,"non",0,"diatom","Skeletonema subsalsum",1.052066422
"69","Elbe Estuary",53.90433,8.78906,"low","24.03.18",12:00:00,7.7138,1.028485,20.64946,3.7942429,"non",0,"other","Aphanizomenon gracile",0.700379341
"70","Elbe Estuary",53.90433,8.78906,"low","24.03.18",12:00:00,7.7138,1.028485,20.64946,3.7942429,"non",0,"other","Coelosphaerium dubium",0.734238938
"71","Elbe Estuary",53.90433,8.78906,"low","24.03.18",12:00:00,7.7138,1.028485,20.64946,3.7942429,"non",0,"other","Cryptomonas platyuris",0.177995348
"72","Elbe Estuary",53.90433,8.78906,"low","24.03.18",12:00:00,7.7138,1.028485,20.64946,3.7942429,"non",0,"other","Cyanodictyon planctonicum",0.560909369
"73","Elbe Estuary",53.90433,8.78906,"low","24.03.18",12:00:00,7.7138,1.028485,20.64946,3.7942429,"non",0,"other","Planctonema lauterbornii",1.369914454
"74","Elbe Estuary",53.90433,8.78906,"low","24.03.18",12:00:00,7.7138,1.028485,20.64946,3.7942429,"non",0,"other","Snowella fennica",1.227298979
"75","Elbe Estuary",53.90433,8.78906,"low","24.03.18",12:00:00,7.7138,1.028485,20.64946,3.7942429,"non",0,"other","Woronichinia compacta",1.494479214
"76","Elbe Estuary",53.90433,8.78906,"low","25.03.18",12:00:00,7.5402,0.852342,25.13668,4.517867,"high",1,"other","Lingulodinium polyedrum",6.884713867
"77","Elbe Estuary",53.90433,8.78906,"low","25.03.18",12:00:00,7.5402,0.852342,25.13668,4.517867,"low",1,"diatom","Cylindrotheca closterium",3.700349083
"78","Elbe Estuary",53.90433,8.78906,"low","25.03.18",12:00:00,7.5402,0.852342,25.13668,4.517867,"non",0,"diatom","Actinocyclus normanii",1.775131878
"79","Elbe Estuary",53.90433,8.78906,"low","25.03.18",12:00:00,7.5402,0.852342,25.13668,4.517867,"non",0,"diatom","Cyclotella radiosa",0.737473065
"80","Elbe Estuary",53.90433,8.78906,"low","25.03.18",12:00:00,7.5402,0.852342,25.13668,4.517867,"non",0,"diatom","Leptocylindrus danicus",1.704539541
"81","Elbe Estuary",53.90433,8.78906,"low","25.03.18",12:00:00,7.5402,0.852342,25.13668,4.517867,"non",0,"diatom","Proboscia alata",0.712419663
"82","Elbe Estuary",53.90433,8.78906,"low","25.03.18",12:00:00,7.5402,0.852342,25.13668,4.517867,"non",0,"diatom","Rhizosolenia setigera",0.401727
"83","Elbe Estuary",53.90433,8.78906,"low","25.03.18",12:00:00,7.5402,0.852342,25.13668,4.517867,"non",0,"diatom","Skeletonema subsalsum",1.152614723
"84","Elbe Estuary",53.90433,8.78906,"low","25.03.18",12:00:00,7.5402,0.852342,25.13668,4.517867,"non",0,"other","Aphanizomenon gracile",0.723784743
"85","Elbe Estuary",53.90433,8.78906,"low","25.03.18",12:00:00,7.5402,0.852342,25.13668,4.517867,"non",0,"other","Coelosphaerium dubium",0.652472576
"86","Elbe Estuary",53.90433,8.78906,"low","25.03.18",12:00:00,7.5402,0.852342,25.13668,4.517867,"non",0,"other","Cryptomonas platyuris",0.173684439
"87","Elbe Estuary",53.90433,8.78906,"low","25.03.18",12:00:00,7.5402,0.852342,25.13668,4.517867,"non",0,"other","Cyanodictyon planctonicum",0.513214236
"88","Elbe Estuary",53.90433,8.78906,"low","25.03.18",12:00:00,7.5402,0.852342,25.13668,4.517867,"non",0,"other","Planctonema lauterbornii",1.323661646
"89","Elbe Estuary",53.90433,8.78906,"low","25.03.18",12:00:00,7.5402,0.852342,25.13668,4.517867,"non",0,"other","Snowella fennica",1.158479524
"90","Elbe Estuary",53.90433,8.78906,"low","25.03.18",12:00:00,7.5402,0.852342,25.13668,4.517867,"non",0,"other","Woronichinia compacta",1.309287742
"91","Elbe Estuary",53.90433,8.78906,"low","26.03.18",12:00:00,8.2493,0.910019,20.57307,6.0500085,"high",1,"other","Lingulodinium polyedrum",4.351305991
"92","Elbe Estuary",53.90433,8.78906,"low","26.03.18",12:00:00,8.2493,0.910019,20.57307,6.0500085,"low",1,"diatom","Cylindrotheca closterium",6.821198983
"93","Elbe Estuary",53.90433,8.78906,"low","26.03.18",12:00:00,8.2493,0.910019,20.57307,6.0500085,"non",0,"diatom","Actinocyclus normanii",2.000606403
"94","Elbe Estuary",53.90433,8.78906,"low","26.03.18",12:00:00,8.2493,0.910019,20.57307,6.0500085,"non",0,"diatom","Cyclotella radiosa",0.756811291
"95","Elbe Estuary",53.90433,8.78906,"low","26.03.18",12:00:00,8.2493,0.910019,20.57307,6.0500085,"non",0,"diatom","Leptocylindrus danicus",1.874476337
"96","Elbe Estuary",53.90433,8.78906,"low","26.03.18",12:00:00,8.2493,0.910019,20.57307,6.0500085,"non",0,"diatom","Proboscia alata",0.690889286
"97","Elbe Estuary",53.90433,8.78906,"low","26.03.18",12:00:00,8.2493,0.910019,20.57307,6.0500085,"non",0,"diatom","Rhizosolenia setigera",0.567585704
"98","Elbe Estuary",53.90433,8.78906,"low","26.03.18",12:00:00,8.2493,0.910019,20.57307,6.0500085,"non",0,"diatom","Skeletonema subsalsum",1.307680758
"99","Elbe Estuary",53.90433,8.78906,"low","26.03.18",12:00:00,8.2493,0.910019,20.57307,6.0500085,"non",0,"other","Aphanizomenon gracile",0.59142054
"100","Elbe Estuary",53.90433,8.78906,"low","26.03.18",12:00:00,8.2493,0.910019,20.57307,6.0500085,"non",0,"other","Coelosphaerium dubium",0.57185811
"101","Elbe Estuary",53.90433,8.78906,"low","26.03.18",12:00:00,8.2493,0.910019,20.57307,6.0500085,"non",0,"other","Cryptomonas platyuris",0.12341905
"102","Elbe Estuary",53.90433,8.78906,"low","26.03.18",12:00:00,8.2493,0.910019,20.57307,6.0500085,"non",0,"other","Cyanodictyon planctonicum",0.470487833
"103","Elbe Estuary",53.90433,8.78906,"low","26.03.18",12:00:00,8.2493,0.910019,20.57307,6.0500085,"non",0,"other","Planctonema lauterbornii",1.136013387
"104","Elbe Estuary",53.90433,8.78906,"low","26.03.18",12:00:00,8.2493,0.910019,20.57307,6.0500085,"non",0,"other","Snowella fennica",1.076364518
"105","Elbe Estuary",53.90433,8.78906,"low","26.03.18",12:00:00,8.2493,0.910019,20.57307,6.0500085,"non",0,"other","Woronichinia compacta",1.224200147
"106","Elbe Estuary",53.90433,8.78906,"low","27.3.18",12:00:00,8.1707,1.029,16.00049,4.7786985,"high",1,"other","Lingulodinium polyedrum",3.406844345
"107","Elbe Estuary",53.90433,8.78906,"low","27.3.18",12:00:00,8.1707,1.029,16.00049,4.7786985,"low",1,"diatom","Cylindrotheca closterium",3.270099961
"108","Elbe Estuary",53.90433,8.78906,"low","27.3.18",12:00:00,8.1707,1.029,16.00049,4.7786985,"non",0,"diatom","Actinocyclus normanii",1.355072538
"109","Elbe Estuary",53.90433,8.78906,"low","27.3.18",12:00:00,8.1707,1.029,16.00049,4.7786985,"non",0,"diatom","Cyclotella radiosa",0.663325117
"110","Elbe Estuary",53.90433,8.78906,"low","27.3.18",12:00:00,8.1707,1.029,16.00049,4.7786985,"non",0,"diatom","Leptocylindrus danicus",1.40599834
"111","Elbe Estuary",53.90433,8.78906,"low","27.3.18",12:00:00,8.1707,1.029,16.00049,4.7786985,"non",0,"diatom","Proboscia alata",0.497191167
"112","Elbe Estuary",53.90433,8.78906,"low","27.3.18",12:00:00,8.1707,1.029,16.00049,4.7786985,"non",0,"diatom","Rhizosolenia setigera",0.339459877
"113","Elbe Estuary",53.90433,8.78906,"low","27.3.18",12:00:00,8.1707,1.029,16.00049,4.7786985,"non",0,"diatom","Skeletonema subsalsum",0.977713547
"114","Elbe Estuary",53.90433,8.78906,"low","27.3.18",12:00:00,8.1707,1.029,16.00049,4.7786985,"non",0,"other","Aphanizomenon gracile",0.653542377
"115","Elbe Estuary",53.90433,8.78906,"low","27.3.18",12:00:00,8.1707,1.029,16.00049,4.7786985,"non",0,"other","Coelosphaerium dubium",0.722352807
"116","Elbe Estuary",53.90433,8.78906,"low","27.3.18",12:00:00,8.1707,1.029,16.00049,4.7786985,"non",0,"other","Cryptomonas platyuris",0.17488544
"117","Elbe Estuary",53.90433,8.78906,"low","27.3.18",12:00:00,8.1707,1.029,16.00049,4.7786985,"non",0,"other","Cyanodictyon planctonicum",0.543538369
"118","Elbe Estuary",53.90433,8.78906,"low","27.3.18",12:00:00,8.1707,1.029,16.00049,4.7786985,"non",0,"other","Planctonema lauterbornii",1.419602507
"119","Elbe Estuary",53.90433,8.78906,"low","27.3.18",12:00:00,8.1707,1.029,16.00049,4.7786985,"non",0,"other","Snowella fennica",1.245124267
"120","Elbe Estuary",53.90433,8.78906,"low","27.3.18",12:00:00,8.1707,1.029,16.00049,4.7786985,"non",0,"other","Woronichinia compacta",1.432307611
"121","English Channel",49.39667,-3.95507,"low","20.03.18",12:00:00,11.9314,0.10434,9.804059,3.2364168,"high",1,"other","Lingulodinium polyedrum",0.016371229
"122","English Channel",49.39667,-3.95507,"low","20.03.18",12:00:00,11.9314,0.10434,9.804059,3.2364168,"high",1,"other","Noctiluca scintillans",0.003516501
"123","English Channel",49.39667,-3.95507,"low","20.03.18",12:00:00,11.9314,0.10434,9.804059,3.2364168,"low",1,"diatom","Cylindrotheca closterium",0.060679911
"124","English Channel",49.39667,-3.95507,"low","20.03.18",12:00:00,11.9314,0.10434,9.804059,3.2364168,"medium",1,"diatom","Thalassiosira mala",0.099870799
"125","English Channel",49.39667,-3.95507,"low","20.03.18",12:00:00,11.9314,0.10434,9.804059,3.2364168,"medium",1,"other","Alexandrium catenella",0.03110654
"126","English Channel",49.39667,-3.95507,"low","20.03.18",12:00:00,11.9314,0.10434,9.804059,3.2364168,"non",0,"diatom","Cyclotella radiosa",0.202242903
"127","English Channel",49.39667,-3.95507,"low","20.03.18",12:00:00,11.9314,0.10434,9.804059,3.2364168,"non",0,"diatom","Detonula confervacea",0.046065776
"128","English Channel",49.39667,-3.95507,"low","20.03.18",12:00:00,11.9314,0.10434,9.804059,3.2364168,"non",0,"diatom","Guinardia delicatula",0.00752378
"129","English Channel",49.39667,-3.95507,"low","20.03.18",12:00:00,11.9314,0.10434,9.804059,3.2364168,"non",0,"diatom","Leptocylindrus danicus",0.115918326
"130","English Channel",49.39667,-3.95507,"low","20.03.18",12:00:00,11.9314,0.10434,9.804059,3.2364168,"non",0,"diatom","Rhizosolenia setigera",0.084531777
"131","English Channel",49.39667,-3.95507,"low","20.03.18",12:00:00,11.9314,0.10434,9.804059,3.2364168,"non",0,"other","Aphanocapsa conferta",0.043385476
"132","English Channel",49.39667,-3.95507,"low","20.03.18",12:00:00,11.9314,0.10434,9.804059,3.2364168,"non",0,"other","Chroococcus distans",0.009315646
"133","English Channel",49.39667,-3.95507,"low","20.03.18",12:00:00,11.9314,0.10434,9.804059,3.2364168,"non",0,"other","Coelosphaerium dubium",0.137707315
"134","English Channel",49.39667,-3.95507,"low","20.03.18",12:00:00,11.9314,0.10434,9.804059,3.2364168,"non",0,"other","Cryptaulax marina",0.132460137
"135","English Channel",49.39667,-3.95507,"low","20.03.18",12:00:00,11.9314,0.10434,9.804059,3.2364168,"non",0,"other","Cryptomonas platyuris",0.044765581
"136","English Channel",49.39667,-3.95507,"low","20.03.18",12:00:00,11.9314,0.10434,9.804059,3.2364168,"non",0,"other","Cyanodictyon planctonicum",0.073200243
"137","English Channel",49.39667,-3.95507,"low","20.03.18",12:00:00,11.9314,0.10434,9.804059,3.2364168,"non",0,"other","Lagerheimia subsalsa",0.156168955
"138","English Channel",49.39667,-3.95507,"low","20.03.18",12:00:00,11.9314,0.10434,9.804059,3.2364168,"non",0,"other","Microcystis wesenbergii",0.122061919
"139","English Channel",49.39667,-3.95507,"low","20.03.18",12:00:00,11.9314,0.10434,9.804059,3.2364168,"non",0,"other","Planctonema lauterbornii",0.036806297
"140","English Channel",49.39667,-3.95507,"low","20.03.18",12:00:00,11.9314,0.10434,9.804059,3.2364168,"non",0,"other","Planktolyngbya contorta",0.099696581
"141","English Channel",49.39667,-3.95507,"low","20.03.18",12:00:00,11.9314,0.10434,9.804059,3.2364168,"non",0,"other","Pseudanabaena acicularis",0.164600997
"142","English Channel",49.39667,-3.95507,"low","20.03.18",12:00:00,11.9314,0.10434,9.804059,3.2364168,"non",0,"other","Radiocystis geminata",0.144296913
"143","English Channel",49.39667,-3.95507,"low","20.03.18",12:00:00,11.9314,0.10434,9.804059,3.2364168,"non",0,"other","Snowella fennica",0.088982423
"144","English Channel",49.39667,-3.95507,"low","20.03.18",12:00:00,11.9314,0.10434,9.804059,3.2364168,"non",0,"other","Woronichinia compacta",0.118871811
"145","English Channel",49.39667,-3.95507,"low","21.03.18",12:00:00,12.167,0.076549,7.745095,3.2646091,"high",1,"other","Lingulodinium polyedrum",0.01322591
"146","English Channel",49.39667,-3.95507,"low","21.03.18",12:00:00,12.167,0.076549,7.745095,3.2646091,"high",1,"other","Noctiluca scintillans",0.004344575
"147","English Channel",49.39667,-3.95507,"low","21.03.18",12:00:00,12.167,0.076549,7.745095,3.2646091,"low",1,"diatom","Cylindrotheca closterium",0.039694071
"148","English Channel",49.39667,-3.95507,"low","21.03.18",12:00:00,12.167,0.076549,7.745095,3.2646091,"medium",1,"diatom","Thalassiosira mala",0.057949368
"149","English Channel",49.39667,-3.95507,"low","21.03.18",12:00:00,12.167,0.076549,7.745095,3.2646091,"medium",1,"other","Alexandrium catenella",0.032030635
"150","English Channel",49.39667,-3.95507,"low","21.03.18",12:00:00,12.167,0.076549,7.745095,3.2646091,"non",0,"diatom","Cyclotella radiosa",0.128149109
"151","English Channel",49.39667,-3.95507,"low","21.03.18",12:00:00,12.167,0.076549,7.745095,3.2646091,"non",0,"diatom","Detonula confervacea",0.030324867
"152","English Channel",49.39667,-3.95507,"low","21.03.18",12:00:00,12.167,0.076549,7.745095,3.2646091,"non",0,"diatom","Guinardia delicatula",0.001387016
"153","English Channel",49.39667,-3.95507,"low","21.03.18",12:00:00,12.167,0.076549,7.745095,3.2646091,"non",0,"diatom","Leptocylindrus danicus",0.065918244
"154","English Channel",49.39667,-3.95507,"low","21.03.18",12:00:00,12.167,0.076549,7.745095,3.2646091,"non",0,"diatom","Rhizosolenia setigera",0.048482214
"155","English Channel",49.39667,-3.95507,"low","21.03.18",12:00:00,12.167,0.076549,7.745095,3.2646091,"non",0,"other","Aphanocapsa conferta",0.034395795
"156","English Channel",49.39667,-3.95507,"low","21.03.18",12:00:00,12.167,0.076549,7.745095,3.2646091,"non",0,"other","Chroococcus distans",0.009457658
"157","English Channel",49.39667,-3.95507,"low","21.03.18",12:00:00,12.167,0.076549,7.745095,3.2646091,"non",0,"other","Coelosphaerium dubium",0.078310141
"158","English Channel",49.39667,-3.95507,"low","21.03.18",12:00:00,12.167,0.076549,7.745095,3.2646091,"non",0,"other","Cryptaulax marina",0.079696156
"159","English Channel",49.39667,-3.95507,"low","21.03.18",12:00:00,12.167,0.076549,7.745095,3.2646091,"non",0,"other","Cryptomonas platyuris",0.029518382
"160","English Channel",49.39667,-3.95507,"low","21.03.18",12:00:00,12.167,0.076549,7.745095,3.2646091,"non",0,"other","Cyanodictyon planctonicum",0.041580917
"161","English Channel",49.39667,-3.95507,"low","21.03.18",12:00:00,12.167,0.076549,7.745095,3.2646091,"non",0,"other","Lagerheimia subsalsa",0.095036213
"162","English Channel",49.39667,-3.95507,"low","21.03.18",12:00:00,12.167,0.076549,7.745095,3.2646091,"non",0,"other","Microcystis wesenbergii",0.072983227
"163","English Channel",49.39667,-3.95507,"low","21.03.18",12:00:00,12.167,0.076549,7.745095,3.2646091,"non",0,"other","Planctonema lauterbornii",0.017427128
"164","English Channel",49.39667,-3.95507,"low","21.03.18",12:00:00,12.167,0.076549,7.745095,3.2646091,"non",0,"other","Planktolyngbya contorta",0.058315102
"165","English Channel",49.39667,-3.95507,"low","21.03.18",12:00:00,12.167,0.076549,7.745095,3.2646091,"non",0,"other","Pseudanabaena acicularis",0.099181525
"166","English Channel",49.39667,-3.95507,"low","21.03.18",12:00:00,12.167,0.076549,7.745095,3.2646091,"non",0,"other","Radiocystis geminata",0.086234451
"167","English Channel",49.39667,-3.95507,"low","21.03.18",12:00:00,12.167,0.076549,7.745095,3.2646091,"non",0,"other","Snowella fennica",0.055975039
